,cluster_gmm
0,0
1,3
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,5
10,0
11,0
12,5
13,5
14,4
15,0
16,0
17,1
18,5
19,0
20,4
21,0
22,5
23,0
24,0
25,5
26,0
27,0
28,0
29,0
30,4
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,5
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,5
57,2
58,5
59,5
60,0
61,0
62,2
63,0
64,0
65,2
66,0
67,4
68,2
69,5
70,5
71,0
72,0
73,5
74,3
75,5
76,0
77,0
78,0
79,0
80,0
81,4
82,0
83,0
84,4
85,0
86,5
87,0
88,0
89,2
90,0
91,0
92,3
93,0
94,5
95,5
96,0
97,0
98,1
99,0
100,0
101,5
102,5
103,1
104,0
105,4
106,0
107,0
108,0
109,1
110,5
111,0
112,0
113,0
114,0
115,0
116,0
117,5
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,5
126,5
127,0
128,5
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,5
144,3
145,0
146,0
147,5
148,0
149,0
150,0
151,0
152,6
153,2
154,0
155,1
156,0
157,0
158,1
159,2
160,4
161,0
162,1
163,0
164,5
165,0
166,0
167,5
168,2
169,5
170,5
171,5
172,0
173,0
174,3
175,5
176,5
177,0
178,0
179,2
180,0
181,0
182,0
183,0
184,0
185,3
186,4
187,4
188,0
189,0
190,5
191,0
192,5
193,5
194,0
195,0
196,5
197,0
198,0
199,0
200,5
201,0
202,5
203,0
204,0
205,0
206,0
207,0
208,4
209,0
210,5
211,6
212,2
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,5
230,0
231,5
232,6
233,0
234,0
235,0
236,3
237,0
238,2
239,0
240,1
241,4
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,5
251,0
252,0
253,0
254,4
255,1
256,3
257,0
258,2
259,0
260,0
261,0
262,3
263,3
264,0
265,0
266,3
267,4
268,0
269,0
270,0
271,1
272,0
273,5
274,0
275,4
276,0
277,0
278,0
279,0
280,5
281,4
282,0
283,0
284,5
285,0
286,0
287,2
288,0
289,0
290,0
291,0
292,0
293,5
294,0
295,0
296,0
297,0
298,5
299,0
300,0
301,0
302,5
303,0
304,0
305,0
306,0
307,0
308,0
309,5
310,0
311,0
312,5
313,5
314,0
315,4
316,0
317,4
318,0
319,0
320,0
321,2
322,6
323,0
324,5
325,2
326,5
