,cluster_hierarchical
0,0
1,5
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,1
14,4
15,0
16,0
17,2
18,1
19,0
20,4
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,4
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,2
55,0
56,1
57,3
58,1
59,1
60,0
61,0
62,3
63,0
64,0
65,3
66,0
67,4
68,3
69,1
70,1
71,0
72,0
73,1
74,5
75,1
76,0
77,0
78,0
79,0
80,0
81,4
82,0
83,0
84,4
85,0
86,1
87,0
88,0
89,3
90,0
91,0
92,5
93,0
94,1
95,1
96,0
97,0
98,2
99,0
100,0
101,1
102,1
103,2
104,0
105,4
106,0
107,0
108,0
109,2
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,1
129,2
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,2
143,1
144,5
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,6
153,3
154,0
155,2
156,0
157,0
158,2
159,3
160,4
161,0
162,2
163,0
164,1
165,0
166,0
167,1
168,3
169,1
170,1
171,1
172,0
173,0
174,5
175,1
176,1
177,0
178,0
179,3
180,0
181,0
182,0
183,0
184,0
185,5
186,4
187,4
188,0
189,0
190,1
191,0
192,1
193,1
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,4
209,0
210,1
211,6
212,3
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,2
225,0
226,0
227,0
228,0
229,1
230,0
231,1
232,6
233,0
234,0
235,0
236,5
237,0
238,3
239,0
240,2
241,4
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,4
255,2
256,5
257,0
258,3
259,0
260,0
261,0
262,5
263,5
264,0
265,0
266,5
267,4
268,0
269,0
270,0
271,2
272,0
273,1
274,0
275,4
276,0
277,0
278,0
279,0
280,1
281,4
282,0
283,0
284,1
285,0
286,0
287,3
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,0
311,0
312,1
313,1
314,0
315,4
316,0
317,4
318,0
319,0
320,0
321,3
322,6
323,0
324,1
325,3
326,1
327,0
328,0
329,0
330,0
331,2
332,0
333,2
334,0
335,2
336,0
337,1
338,0
339,0
340,2
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,3
353,1
354,0
355,5
356,0
357,1
358,0
359,0
360,1
361,3
362,0
363,0
364,0
365,0
366,0
367,4
368,0
369,4
370,2
371,3
372,0
373,0
374,0
375,0
376,1
377,2
